integrate_frisia_desc;My fellow citizens, today marks an important milestone in our nation's history. After hundreds of years of struggle, we have successfully reclaimed the coastal region of Frisia from its occupiers and brought it under the banner of the Saxon Empire. This achievement was made possible through the unwavering determination and bravery of our soldiers and the shrewd diplomacy of our leaders. Our victory in Frisia not only expands our territory but also secures our hold over the vital trade route of the North Sea coast.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_north_title;The Recovery of Jütland;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_north_desc;The reconquest of Jutland marks a turning point in our history. With this victory, we have not only expanded our territory, but we have also secured our borders against further aggression from the weakening Scandinavian Empire. As our power grows, so too does our responsibility to ensure the safety and prosperity of our people. We will not rest until every inch of our rightful territory is under our control, and we will continue to assert our dominance over the ever-weaker Scandinavian Empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_silesia_title;Silesia is Ours!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_silesia_desc;It is my great pleasure to announce that Silesia is now officially under the control of the Saxon Empire. Through our unwavering persistence and tireless efforts, we have secured this coveted territory and expanded our influence in the region. This victory is a testament to the strength and determination of the Saxon people, and we will continue to pursue opportunities for expansion and defend our borders with the same tenacity. We look forward to the opportunities and prosperity that this new addition to our empire will bring.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_net_title;The Reclamation of Batavia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_net_desc;With great pride and honor, we announce that the old land of Batavia is once again under the control of the mighty Saxon Empire. Our armies have triumphed over adversity, and we have reclaimed this vital territory that rightfully belongs to us. This victory further cements our position as a dominant force in Europe, and we will continue to defend our borders and expand our territories. Let this achievement serve as a reminder to all that the glory of the Saxon Empire is unmatched, and that we will not rest until we have achieved our rightful place as the greatest Empire in north europe.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
saxon_claims_in_pomerania_title;Claim lands in Pomerania ;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
saxon_claims_in_pomerania_desc;With the lands of the Saxon Empire fully restored to their rightful place, we now turn our gaze towards Pomerania. This region presents a valuable opportunity for expansion and growth, and we have the strength and resources to make it our own. The Saxon Empire has proven itself to be a dominant force in Europe, and we will continue to pursue opportunities to expand our borders and establish ourselves as the greatest civilization on the continent. Let us move forward with confidence and determination, knowing that our victory in securing our rightful lands has strengthened us for the challenges that lie ahead.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
march_east_title;The march to the east.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
march_east_desc;With our previous campaigns having brought great success to the Saxon Empire, the time has come to turn our attention towards the weak and vulnerable Polish people to the east. Their lands present a valuable opportunity for expansion, and we have the strength and resources to crush their resistance and bring them under our rule. Let us not hesitate in pursuing this great victory, for it will only serve to further strengthen our position as the dominant power in Europe. We will continue to move forward with unwavering determination, knowing that the glory of the Saxon Empire will only continue to grow with each new conquest.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_east_title;Integrate the eastern lands.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_east_desc;With the conquest of the eastern lands in Poland, the Saxon Empire has demonstrated its power and dominance over the region. Now, it is time to turn our attention towards our fellow Germans, who have long been separated from us by artificial borders. We extend an invitation to them to join us as a core part of the Saxon Empire, to be united with us in our shared culture and heritage. Let us not allow borders to divide us any longer; we are one people, united in our commitment to the greatness of our civilization. Together, we will continue to expand our empire and pursue new opportunities for growth and prosperity.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
push_west_title;The Western Rhine.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
push_west_desc;With the successful acquisition of all possible German claims, the time has come to assert our dominance over the western lands, which have long been controlled by the Franks. We have defeated their armies and demonstrated our superiority on the battlefield, and now it is time to make it clear to the world that these lands rightfully belong to Germany. Let there be no doubt: the German Empire is the most powerful and dominant force in Europe, and we will not be deterred in our quest for greatness. The Western lands will be brought under our control, and we will continue to pursue new opportunities for expansion and growth. Let our enemies tremble at the sound of our approach, for they will be powerless to stop us. The glory of Germany will shine bright for all to see, and we will continue to assert our dominance over the continent with unwavering determination.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_lausic_title;Integration of all Saxons.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_lausic_desc;As the Saxon Empire continues to grow and expand, we recognize the importance of integrating all of our people into a larger, unified nation. This includes those smaller groups of German Saxons who may have previously been separated from the rest of our people. We welcome them into our society with open arms, and will work tirelessly to ensure their full inclusion in all aspects of our culture and governance. Only through such unity can we continue to build a strong and prosperous future for the Saxon Empire, and we are committed to making it a reality.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_austria_title;Integrate the southern Germans.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_austria_desc;As Germany continues to expand and grow, we recognize the importance of integrating all of our people into a larger, unified nation. This includes the Germans living in the southeastern regions, who may have previously been separated from the rest of our people. We welcome them into our society with open arms, and will work tirelessly to ensure their full inclusion in all aspects of our culture and governance. Only through such unity can we continue to build a strong and prosperous future for Germany, and we are committed to making it a reality.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
invade_the_baltic_title;The invasion of the Baltic Sea;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
invade_the_baltic_desc;The time has come for the German Empire to once again pursue its old ambitions in the Baltic region. Having fulfilled all of our previous claims and conquered all possible territories within our reach, we must now look beyond our borders to new lands ripe for conquest. The Baltic holds great strategic importance for our nation, and we will not rest until it is firmly under our control. We will marshal our armies and unleash them upon the weak and disorganized peoples of the region, crushing all who stand in our way. Let it be known that the German Empire is a force to be reckoned with, and we will stop at nothing to achieve our goals. The glory of Germany will shine bright in the Baltic, and we will continue to assert our dominance over the continent with unwavering determination.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_tirol_title;An odd claim on tyrol?;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_tirol_desc;It's somewhat amusing to think that the German nation could claim Tirol based on some flimsy historical claims made by other Germans. While it's true that Tirol has been passed back and forth between various powers over the centuries, it hardly seems fair to stake a claim to it now just because some long-dead Germans once had control over the region. Nevertheless, if the German people truly believe that Tirol is rightfully theirs, then it is their prerogative to make such a claim. Whether or not it will be taken seriously by the rest of the world remains to be seen, but it's certainly an interesting topic for debate.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
begin_integrating_the_baltic_title;Commence The Integration of the Baltic;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
begin_integrating_the_baltic_desc;With the conquest of the Baltic Sea now complete, the German Empire can turn its attention to the arduous task of integrating the conquered peoples into the greater German nation. While some may see this as a daunting challenge, we see it as an opportunity to expand our influence and bring new blood into our great nation. We will begin by establishing a strong presence in the region, with military garrisons and administrative centers set up to maintain order and facilitate the integration process. Our people will work tirelessly to spread German culture and values throughout the Baltics, with the goal of creating a new generation of true Germans who will proudly call themselves members of the greater German Empire. While this task will undoubtedly take time and effort, we are confident that the rewards will be great, and we look forward to welcoming the people of the Baltic into our ranks as loyal citizens of the German nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
restore_the_baltic_title;Restore the Baltic dominions;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
restore_the_baltic_desc;My fellow Nordics, it is with great pride and gratitude that I announce to you the successful conclusion of the war with Bolkania over our beloved Baltic coast. After months of bloody conflict, our brave soldiers have emerged victorious, and our control over the region can now be fully restored. The sacrifices made by our people will not be forgotten, and the memory of our fallen heroes will be forever honored. I call upon all Nordics to join me in celebrating this momentous occasion and to work together in rebuilding our nation stronger than ever before.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
demand_prussian_submission_title;The pruski must submit!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
demand_prussian_submission_desc;As the Nordic Empire continues its conquest of the Baltics, we have identified a unique opportunity to expand our control over the Pruski lands. With the Bolkanian hold on the region weakened by our successful military campaign, we believe that the time is ripe to move in and assert our dominance over the Pruski vassals. We are prepared to use all necessary means to secure our control over these territories, and we have full confidence in our military capabilities to overcome any challenges that may arise. This expansion of our empire will bring stability and prosperity to the region, and we look forward to the many opportunities that it will offer.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embrace_the_scots_title;Embrace the Albidosaek!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embrace_the_scots_desc;They will now be acccepted in our nation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_purchase_of_hispaniola_title;The purchase of the pearl of Himilconis;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_purchase_of_hispaniola_desc;With the recent developments for the Franks maintaining the colony may be unnecessarily costly for them and they might find themselves willing to sell it to us for the right price.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
demand_the_return_of_the_colonies_title;The Fate of the new world.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
demand_the_return_of_the_colonies_desc;The time has come for us to extend our hand to those poor colonies that have been struggling to govern themselves in the Americas. They have been suffering for far too long, and it is time for them to once again experience the peace and prosperity that can only come from being under the wing of the great Frankish nation. It is our duty to bring civilization and order to these lands, to teach these people the proper way of governing and living. We know that some may see this as an act of conquest, but we must remember that it is for their own good. It is not exploitation, but rather, it is an act of benevolence towards those who have been lost without our guidance.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embrace_the_arpitans_title;Embrace the peoples of the Alps;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embrace_the_arpitans_desc;After many long years of conflict and strife, the Franks have finally recovered their rightful lands around the Alps. With this victory, the time has come for us to properly integrate the peoples of these lands into the larger Frankish nation. It is our duty to ensure that all who dwell within our borders share in the prosperity and security that our great nation provides. Let us work together to forge a bright future for all Franks, wherever they may be found.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embrace_the_west_germs_title;Accept the allemani into the nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embrace_the_west_germs_desc;Given the historical and geographical ties of the peoples in the southwest of Germany to the rest of the country, it is only logical to consider them as integral parts of the nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reconquer_the_incas_title;The incans will not be free.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reconquer_the_incas_desc;With the reclamation of the last Frankish colonies in the Americas, the glorious Frankish empire sets its sights on the South. The traitorous Incas who dare challenge our sovereignty will face the full might of the Frankish army. We will teach them that the price of rebellion is nothing less than total annihilation. Their lands, their people, and their resources will all become part of the great Frankish empire. Let this be a warning to all who would oppose us, for our destiny is to rule the world with an iron fist.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_savoy_title;The Reclamation of Savoy;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_savoy_desc;Following the successful reclamation of Savoy under the Frankish banner, it is only logical that all of its lands now become an integral part of the Frankish nation. The people of Savoy shall be welcomed with open arms as brothers and sisters.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_burgundy_title;Burgundy just isnt my colour.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_burgundy_desc;It is with great satisfaction that we can announce the subjugation of the Burgundian people and their land under the rule of the Frankish Empire. This victory has been a long time coming, but with our military might and unwavering determination, we have finally brought the wayward Burgundians back into the fold of our great nation. Let this be a warning to any who would dare challenge the might of the Frankish Empire, for we will not rest until all lands and peoples are brought under our just and rightful rule.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_celts_title;Form The Celtic Union.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_celts_desc;The long-awaited moment has finally arrived, after endless battles and countless sacrifices, the true celtic peoples of the British Isles and beyond have been granted a sovereign state that recognizes them as the rightful owners of their homeland. It is a moment of great joy and pride, for the blood, sweat, and tears shed in the name of this cause were not in vain. This is a triumph of the spirit, a victory for all those who have fought for their identity, their heritage, and their culture. The flame of freedom and independence now burns bright in the heart of every celtic man and woman, and it will continue to shine for generations to come.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_avalon_title;The island of Apples.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_avalon_desc;With great pride and joy, we declare that the people of the colony of Avalon in the lands of apples are now part of the greater Celtic Union. Their people and culture are an essential part of our shared heritage, and we welcome them with open arms. Their contributions to our society and our history will be cherished and celebrated as we continue to strengthen our bond as a united Celtic people. Together, we will build a better future for all of our citizens, and we will face any challenges that come our way with courage and determination.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
claim_scotland_title;The Albidosaek are ours now.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
claim_scotland_desc;After many long years, the people of Prydain have finally claimed the land of Alban, which had been under the oppressive rule of the Scandinavian Empire for far too long. With the might of their armies and the strength of their spirits, the Celtic people of Prydain have driven out the invaders and now the land rightfully belongs to its true owners. The people of Alban are now free to live as part of the greater Celtic nation, and their traditions and culture will be celebrated and preserved as an integral part of the proud heritage of the Celtic peoples.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
claim_england_title;No more Danelaw.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
claim_england_desc;Under the brave leadership of our military, the Scandinavian invaders have been driven out of the Aengliscs lands. After years of oppression and struggle, we have finally reclaimed our ancestral land and it rightfully belongs to us. Our people can now live in peace and prosperity, free from the tyranny of the foreign conquerors. Let this be a reminder that our resolve is unbreakable, and we will never yield in our quest to defend our homeland and secure our future.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_our_lands_title;The Reclamation of our Lands.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_our_lands_desc;As the sun rises over Constantinople, I stand before you to declare that the time has come for the Eastern Roman Empire to reclaim what is rightfully ours. For too long, our lands have been taken from us by foreign powers, and it is time to put an end to this injustice. We shall not rest until our lands are back under our control, and our people are once again living in peace and prosperity. Let this be a call to arms for all those who love our empire and wish to see it restored to its former glory. The Eastern Roman Empire shall rise again, and our enemies will tremble before us!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_anatolia_title;The Reclamation of Anatolia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_anatolia_desc;The Byzantine Empire hereby declares that the time has come for Anatolia to be reclaimed as Roman once more. The land that was once rightfully under the rule of Rome has been taken from us for too long. The Byzantine Empire will not rest until it has regained full control of Anatolia, and we will use all means necessary to achieve this goal. The time for complacency is over, and we will not stop until our land is returned to us.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_all_of_the_balkans_title;The balkans are Roman!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaim_all_of_the_balkans_desc; .;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
centralize_rumelia_title;Centralize Rumelia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
centralize_rumelia_desc; .;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
we_are_roman_title;Hold a Triumph for Rome!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
we_are_roman_desc;The Eternal City of Rome has languished for centuries outside of the rightful rule of its Rhomaion progenitors. Cast away from the hold of the civilized world by the work of Germanic barbarians and disloyal patriarchs, the city now once again rests in Rhomaion hands once again, a symbol of the greatness of ages past and the new heights the people of Constantinople have achieved. With the disloyal and apostate Pope towed behind the proceeding armies, the Rhomaion army shall march through the Eternal city as conquerors and liberators alike, demonstrating our superiority and restored rule over the lesser, barbaric Latins of the West.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
rally_the_cosenzan_league_title;Rally the Cosenzan League;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
rally_the_cosenzan_league_desc;The so-called Italian peninsula, known rightfully as Magna Graecia, remains a territory of great interest to the Rhomaion empire, even though it has languished outside of Imperial hands since our defeat by the Carthaginians in the 1547 Battle of the Adriatic. The recent unification of Southern Italy in a confederation under the Melfis-based monarchy generates a unique opportunity for us to present ourselves in the region once again. Should we introduce our own influences into the kingdom, we may be able to exploit divisions between the mainland monarchies and the Cosenzan League, the only republic of the trio to join the confederation, to trigger a Cosenzan-led coup in favor of Byzantine influence. Even should the coup fail, it opens a welcome casus belli to enforce Byzantine rule over southern Italy.;;;;;;;;;;;;;
triumph_for_italy_title;Hold a Triumph for Italy!;;;;;;;;;;;;;
triumph_for_italy_desc;The preparations are all but complete for our final reintegration of Italia into the one true Rhomaion Empire! Soon, all shall see that the one true Rome is indivisible, eternal, governed by those ordained by the Angel of God Herself! None shall question our power and divinity, for both the chief point of the star of David and its lesser partner in the west now form the basis of East and West, revealing to all that the promise of God goes to us and us alone!;;;;;;;;;;;;;
the_reclamation_of_armenia_title;The Reclamation of Armenia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_reclamation_of_armenia_desc;The Armenian territories have not been a part of the Rhomaion realm for many years now. Not since the loss of Anatolia centuries ago to Kachuskaya has the land been within reach for the Rhomaion people. Yet, with the end of Kachuskaya, it is only a matter of time before the Rhomaion eagle flies over the Caucasus once again.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
rebuilding_the_parthenon_title;Rebuilding the Parthenon;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
rebuilding_the_parthenon_desc;The Parthenon was once the religious and cultural heart of the Hellenic realm. Now, long since conquered by the Usurpers, the temple has fallen into utter ruin and disrepair. However, with a great deal of funding from the state, an effort can be made to not only reconstruct the Parthenon, but fully place the myriad temples of Hellas under firm state control, permanently rending the ties between the Hellenic realm and the western world that abandoned it.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_finland_and_estonia_title;Integrate the Finno-Ugrics.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_finland_and_estonia_desc;The finno ugric states in the scandinavian empire can now be properly integrated into the nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_finland_title;Integrate Finland into Scandinavia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_finland_desc;As the borders of the Scandinavian Empire expand, it is only natural that Finland, with its rich cultural and historical ties to the Nordic peoples, be integrated into the greater empire. The Finns have long been a part of the Scandinavian sphere of influence, and now that their land is rightfully under the control of the empire, it is time to fully embrace them as brothers and sisters in the Nordic family. Through shared language, culture, and history, Finland can contribute to the strength and prosperity of the Scandinavian Empire, and the empire can provide security and stability for the Finnish people.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
